text,label
add task: Reminder on 2024-02-10 at 3 PM,add
reschedule first task: Reminder to 2024-02-20 at 3 PM,reschedule
cancel  third task: Reminder on 2024-02-12 at 10 AM,cancel
add remainder for tomorrow at 3 PM,add
reschedule second remainder for Monday at 3 PM,reschedule
cancel  first remainder,cancel
add task: Reminder on 2024-03-01 at 5 PM,add
reschedule fourth task: Reminder to 2024-02-25 at 2 PM,reschedule
cancel  fifth task: Reminder on 2024-02-14 at 9 AM,cancel
add task: Reminder on 2024-02-22 at 12:30 PM,add
reschedule third task: Reminder to 2024-02-23 at 3:30 PM,reschedule
cancel  second task: Reminder on 2024-02-16 at 7 AM,cancel
add task: Reminder on 2024-02-28 at 2:30 PM,add
reschedule fifth task: Reminder to 2024-02-25 at 2 PM,reschedule
cancel  fourth task: Reminder on 2024-02-14 at 9 AM,cancel
add task: Reminder on 2024-02-25 at 11 AM,add
reschedule second task: Reminder to 2024-03-10 at 4:30 PM,reschedule
cancel  third remainder,cancel
add task: Reminder on 2024-03-15 at 2 PM,add
reschedule first task: Reminder to 2024-02-25 at 6:30 PM,reschedule
cancel  second remainder,cancel
add task: Reminder on 2024-03-05 at 10:30 AM,add
reschedule fourth task: Reminder to 2024-03-05 at 3:30 PM,reschedule
cancel  fifth remainder,cancel
add task: Reminder on 2024-03-10 at 6 PM,add
add task: Reminder on 2024-02-25 at 11 AM,add
reschedule second task: Reminder to 2024-03-10 at 4:30 PM,reschedule
cancel  third remainder,cancel
add task: Reminder on 2024-03-15 at 2 PM,add
reschedule first task: Reminder to 2024-02-25 at 6:30 PM,reschedule
cancel  second remainder,cancel
add task: Reminder on 2024-03-05 at 10:30 AM,add
reschedule fourth task: Reminder to 2024-03-05 at 3:30 PM,reschedule
cancel  fifth remainder,cancel
add task: Reminder on 2024-03-10 at 6 PM,add
add task: Reminder on 2024-03-08 at 1:30 PM,add
reschedule third task: Reminder to 2024-02-28 at 2 PM,reschedule
cancel  fourth remainder,cancel
add task: Reminder on 2024-02-27 at 9 AM,add
reschedule fifth task: Reminder to 2024-02-25 at 3:30 PM,reschedule
cancel  sixth task: Reminder on 2024-02-21 at 3 PM,cancel
add task: Reminder on 2024-03-12 at 5:30 PM,add
reschedule second remainder for Thursday at 4 PM,reschedule
cancel  seventh remainder,cancel
add task: Reminder on 2024-03-07 at 10 AM,add
reschedule sixth task: Reminder to 2024-03-06 at 3:30 PM,reschedule
cancel  eighth task: Reminder on 2024-03-02 at 6 PM,cancel
add task: Reminder on 2024-02-25 at 11 AM,add
reschedule second task: Reminder to 2024-03-10 at 4:30 PM,reschedule
cancel  third remainder,cancel
add task: Reminder on 2024-03-15 at 2 PM,add
add task: Reminder on 2024-02-10 at 3 PM,add
shift first task: Reminder to 2024-02-20 at 3 PM,reschedule
call off  third appointment: Reminder on 2024-02-12 at 10 AM,cancel
create reminder for tomorrow at 3 PM,add
adjust second reminder for Monday at 3 PM,reschedule
drop  first reminder,cancel
include event: Reminder on 2024-03-01 at 5 PM,add
move fourth event: Reminder to 2024-02-25 at 2 PM,reschedule
cancel  fifth commitment: Reminder on 2024-02-14 at 9 AM,cancel
organize lunch with client on 2024-02-22 at 12:30 PM,add
reschedule third meeting: Reminder to 2024-02-23 at 3:30 PM,reschedule
discard  second task: Reminder on 2024-02-16 at 7 AM,cancel
initiate task: Reminder on 2024-02-28 at 2:30 PM,add
postpone fifth task: Reminder to 2024-02-25 at 2 PM,reschedule
terminate  fourth task: Reminder on 2024-02-14 at 9 AM,cancel 
schedule meeting: Reminder on 2024-02-25 at 11 AM,add
move second activity: Reminder to 2024-03-10 at 4:30 PM,reschedule
cancel  third remainder,cancel
create task: Reminder on 2024-03-15 at 2 PM,add
shift first event: Reminder to 2024-02-25 at 6:30 PM,reschedule
skip  second notice,cancel
arrange demo: Reminder on 2024-03-05 at 10:30 AM,add
reschedule fourth training: Reminder to 2024-03-05 at 3:30 PM,reschedule
eliminate  fifth notification,cancel
plan team get-together on 2024-03-10 at 6 PM,add
organize meeting: Reminder on 2024-02-25 at 11 AM,add
move second workshop: Reminder to 2024-03-10 at 4:30 PM,reschedule
skip  third reminder,cancel
create presentation: Reminder on 2024-03-15 at 2 PM,add
reschedule first event: Reminder to 2024-02-25 at 6:30 PM,reschedule
discard  second notice,cancel
organize demo: Reminder on 2024-03-05 at 10:30 AM,add
cancel   fifth notification,cancel
plan team get-together on 2024-03-10 at 6 PM,add
organize marketing presentation on 2024-03-08 at 1:30 PM,add
reschedule third meeting: Reminder to 2024-02-28 at 2 PM,reschedule
cancel  fourth remainder,cancel
add task: Reminder on 2024-02-27 at 9 AM,add
reschedule fifth task: Reminder to 2024-02-25 at 3:30 PM,reschedule
cancel  sixth task: Reminder on 2024-02-21 at 3 PM,cancel
add task: Reminder on 2024-03-12 at 5:30 PM,add
shift second reminder to Thursday at 4 PM,reschedule
cancel  seventh reminder,cancel
add task: Reminder on 2024-03-07 at 10 AM,add
